c,2435
c/c++,867
java,762
asp,661
javascript,559
c#.net,487
mssql,477
linux,477
asp.net,411
html,354
sql,352
jquery,287
excel,276
word,271
vb,263
android,241
visualc,227
python,227
powerpoint,216
mysql,209
windows,196
ajax,195
oracle,181
outlook,170
visualc++,166
css,164
php,164
mvc,141
visualstudio,137
vb.net,136
visualbasic,116
xml,108
tcp,106
pl,101
windowsserver,95
mcu,85
windowsserver2000-2012,83
assembly,74
pl/sql,73
netc,71
objective,68
windowsxp,67
hr,67
erp,66
toeic,64
windows7,64
ms,63
sqlserver,63
swift,62
uml,61
