name,times,rank
Kok-Huat Lee,6,23
H. A. David,6,23
James M. Holmes,6,23
Gerald J. Hahn,6,23
C. Radhakrishna Rao,6,23
Jerzy Neyman,6,23
Irving H. LaValle,6,23
Donald T. Searls,6,23
S. M. Shah,6,23
Walter A. Hendricks,6,23
Albert Madansky,6,23
Harvey M. Wagner,6,23
Gerhard Tintner,6,23
Paul J. Fitzpatrick,6,23
Alan Stuart,6,23
William G. Cochran,6,23
Herman P. Miller,6,23
Clyde V. Kiser,6,23
W. Duane Evans,6,23
Joseph S. Davis,6,23
Willard L. Thorp,6,23
Wirth F. Ferger,6,23
C. I. Bliss,6,23
Vergil D. Reed,6,23
E. A. Goldenweiser,6,23
A. F. Hinrichs,6,23
Halbert L. Dunn M.D.,6,23
Leland Rex Robinson,6,23
Theodore H. Brown,6,23
R. H. Coats,6,23
Walter Mitchell Jr.,6,23
Edwin B. Wilson,6,23
Meredith B. Givens,6,23
G. P. Watkins,6,23
Aurore Delaigle,6,23
Michael E. Sobel,6,23
S. A. Murphy,6,23
Wolfgang Härdle,6,23
Paul Meier,6,23
Lee J. Bain,6,23
Heping Zhang,6,23
Ming-Hui Chen,6,23
Weizhen Wang,6,23
Hans-Georg Müller,6,23
Barbara A. Bailar,6,23
Bernard Harris,6,23
Marakatha Krishnan,6,23
Yoav Benjamini,6,23
Saul Blumenthal,6,23
Nilanjan Chatterjee,5,24
Francesco Bartolucci,5,24
Kosuke Imai,5,24
Holger Dette,5,24
Christopher R. Genovese,5,24
Peter D Hoff,5,24
James M. Robins,5,24
George T. Duncan,5,24
A. P. Dawid,5,24
Dennis D. Boos,5,24
Mark P. Becker,5,24
Jun S. Liu,5,24
David S. Stoffer,5,24
Masahito Kobayashi,5,24
Song Yang,5,24
Jeffrey D. Hart,5,24
F. Thomas Juster,5,24
Carey E. Priebe,5,24
R. J. Carroll,5,24
Zvi Gilula,5,24
Francisco J. Samaniego,5,24
Nancy R. Mann,5,24
Charles F. Manski,5,24
Kirk M. Wolter,5,24
Robert A. Stine,5,24
Bruce D. Spencer,5,24
James J. Heckman,5,24
Norman Breslow,5,24
Michael E. Tarter,5,24
John D. Spurrier,5,24
Eugene P. Ericksen,5,24
Halbert White,5,24
Jukka Nyblom,5,24
K. R. W. Brewer,5,24
Genshiro Kitagawa,5,24
George E. P. Box,5,24
Jerry G. Thursby,5,24
Khursheed Alam,5,24
K. R. Gabriel,5,24
T. A. Bancroft,5,24
E. L. Lehmann,5,24
Rupert G. Miller Jr.,5,24
George S. Fishman,5,24
Kimio Morimune,5,24
Wayne A. Fuller,5,24
Young Jack Lee,5,24
Ivan P. Fellegi,5,24
Otis Dudley Duncan,5,24
Lalitha Sanathanan,5,24
Lynn Roy Lamotte,5,24
E. J. Hannan,5,24
Theodore Colton,5,24
Jagdish K. Patel,5,24
K. M. Lal Saxena,5,24
Pi-Erh Lin,5,24
Monroe G. Sirken,5,24
Nathan Mantel,5,24
R. K. Tsutakawa,5,24
Michael E. Borus,5,24
Arthur S. Goldberger,5,24
V. N. Murty,5,24
Robert J. Connor,5,24
Edwin H. Chen,5,24
Frank T. Denton,5,24
N. L. Johnson,5,24
Michael C. Lovell,5,24
M. A. El-Badry,5,24
J. H. Klotz,5,24
Z. W. Birnbaum,5,24
Edwin L. Crow,5,24
H. Theil,5,24
Philip M. Hauser,5,24
William H. Kruskal,5,24
Morris James Slonim,5,24
Samuel A. Stouffer,5,24
Benjamin Epstein,5,24
Bruce D. Mudgett,5,24
Edwin G. Olds,5,24
Harold F. Dorn,5,24
Frank E. Grubbs,5,24
Lila F. Knudsen,5,24
Ragnar Frisch,5,24
Frank R. Garfield,5,24
T. J. Woofter Jr.,5,24
Truman L. Kelley,5,24
Faith M. Williams,5,24
Aryness Joy,5,24
William F. Ogburn,5,24
Alberto Abadie,5,24
Deborah Burr,5,24
Ngai Hang Chan,5,24
Moshe Shaked,5,24
G. E. P. Box,5,24
R. R. Hocking,5,24
Clifford Hildreth,5,24
A. A. Afifi,5,24
Herbert C. Rutemiller,5,24
José R. Zubizarreta,5,24
Zongwu Cai,5,24
Efstathios Paparoditis,5,24
Nathaniel Schenker,5,24
Xuming He,5,24
Peter Müller,5,24
Stephen Portnoy,5,24
Tony Lancaster,5,24
Gang Li,5,24
S. N. Singh,5,24
Irving W. Burr,5,24
Daniel Peña,4,25
Ying Wei,4,25
Marc Hallin,4,25
Lu Tian,4,25
Subharup Guha,4,25
Dan Nettleton,4,25
Hansheng Wang,4,25
Dylan S Small,4,25
S. L Zabell,4,25
Tilmann Gneiting,4,25
Jeffrey S Morris,4,25
Nils Lid Hjort,4,25
Chang Xuan Mao,4,25
Nozer D Singpurwalla,4,25
Joel L Horowitz,4,25
Steven L Scott,4,25
Lang Wu,4,25
Rafael A Irizarry,4,25
Edward I. George,4,25
James P. Hobert,4,25
Ehsan S. Soofi,4,25
William E. Strawderman,4,25
Kathryn Roeder,4,25
Eric D. Kolaczyk,4,25
David S. Moore,4,25
Elizabeth A. Stasny,4,25
Ronald W. Butler,4,25
Yazhen Wang,4,25
M. C. Jones,4,25
