name,times,rank
Peisong Han,2,27
Hulin Wu,2,27
Ben B. Hansen,2,27
Alan Huang,2,27
Gery Geenens,2,27
Gerda Claeskens,2,27
Victor M. Panaretos,2,27
Marie Davidian,2,27
Takahiro Hoshino,2,27
Sanat K. Sarkar,2,27
Matt Taddy,2,27
Zahra Siddique,2,27
Yuanjia Wang,2,27
Ting Zhang,2,27
Howard D. Bondell,2,27
Zhou Zhou,2,27
Robert N. Rodriguez,2,27
Drew A. Linzer,2,27
Martin A. Lindquist,2,27
P. L. Davies,2,27
Lu Wang,2,27
Ute Hahn,2,27
Daniel Percival,2,27
Debbie J. Dupuis,2,27
Tristan Zajonc,2,27
Longhai Li,2,27
Peter Z. G. Qian,2,27
Dávid Papp,2,27
Ciprian M. Crainiceanu,2,27
C. Paddy Farrington,2,27
Ying Chen,2,27
Matthew A. Taddy,2,27
Michael Peress,2,27
Ross L. Prentice,2,27
Yacine Aït-Sahalia,2,27
Xin Gao,2,27
Abel Rodríguez,2,27
Werner Brannath,2,27
Daniela M. Witten,2,27
Kani Chen,2,27
Song Xi Chen,2,27
Tatyana Krivobokova,2,27
Sally C. Morton,2,27
John H. J. Einmahl,2,27
Pulak Ghosh,2,27
Debopam Bhattacharya,2,27
Haitao Chu,2,27
Finbarr O'Sullivan,2,27
Boaz Nadler,2,27
Jan C. Neddermeyer,2,27
Martin Posch,2,27
Peter A. Lachenbruch,2,27
Christian Francq,2,27
Mary Ellen Bock,2,27
William R. Shadish,2,27
Michael L. Anderson,2,27
Lifeng Wang,2,27
S. C Kou,2,27
Alois Kneip,2,27
Yufeng Liu,2,27
Jun Yan,2,27
Dave Higdon,2,27
Limin Peng,2,27
Remy Cottet,2,27
Brent A Johnson,2,27
Pavel Číźek,2,27
John Staudenmayer,2,27
Jing Qin,2,27
Michael G Hudgens,2,27
Ciprian M Crainiceanu,2,27
Haiqun Lin,2,27
Daniel Yekutieli,2,27
David I Warton,2,27
Kenneth Rice,2,27
Ying Kuen Cheung,2,27
Ana Grohovac Rappold,2,27
Wendy Meiring,2,27
Mayetri Gupta,2,27
Sallie Keller-McNulty,2,27
Jean D Opsomer,2,27
F. Dubois Bowman,2,27
Kristin N Javaras,2,27
Peter H Westfall,2,27
Glenn Heller,2,27
J. P Morgan,2,27
Fritz Scheuren,2,27
Rachel MacKay Altman,2,27
Prasad A Naik,2,27
Montserrat Fuentes,2,27
E. Andrés Houseman,2,27
Jessica Tressou,2,27
Michael E Sobel,2,27
Hui Zou,2,27
Michael G Akritas,2,27
Timothy E Hanson,2,27
Sibel Sirakaya,2,27
A. S Hedayat,2,27
Yong Kong,2,27
Martin Kulldorff,2,27
Jason Roy,2,27
J. Carlos Escanciano,2,27
Willa W Chen,2,27
Adrian E Raftery,2,27
Fulvio De Santis,2,27
Jose Manuel Pavía-Miralles,2,27
Peter X.-K Song,2,27
Yannis G Yatracos,2,27
David M Zucker,2,27
Alan E Gelfand,2,27
Scott A Sisson,2,27
Michael R Elliott,2,27
Gareth M James,2,27
Joseph B Lang,2,27
Ian W McKeague,2,27
Jin-Ting Zhang,2,27
Michael L Stein,2,27
Donald B Rubin,2,27
Ivan Mizera,2,27
Yoichi Miyata,2,27
Takis Merkouris,2,27
Chunlei Ke,2,27
Yulia Gel,2,27
Ben B Hansen,2,27
Simon N Wood,2,27
Sanjoy K Sinha,2,27
Kenneth M Rice,2,27
Perry de Valpine,2,27
Roderick J Little,2,27
Robert L Mason,2,27
Scott M Berry,2,27
Hao Zhang,2,27
Frederic Paik Schoenberg,2,27
Wesley O Johnson,2,27
Chih-Ling Tsai,2,27
Shiqing Ling,2,27
Chunming Zhang,2,27
Marc A Suchard,2,27
Bruce E Hansen,2,27
Miron L Straf,2,27
Sander Greenland,2,27
Scott Gilbert,2,27
Jeffrey S Rosenthal,2,27
Zbigniew Szkutnik,2,27
Michael A Newton,2,27
Mark A van de Wiel,2,27
Omer Ozturk,2,27
Sandra J McBride,2,27
Gary Koop,2,27
Daniel Rabinowitz,2,27
Guenther Walther,2,27
Richard L Scheaffer,2,27
Edward F Vonesh,2,27
Ajit C Tamhane,2,27
W. Michael O'Fallon,2,27
James O Berger,2,27
Ignacio N Lobato,2,27
Yuhong Yang,2,27
Sylvia Frühwirth-Schnatter,2,27
James H Steiger,2,27
Gunnar Kjell,2,27
Bradley P. Carlin,2,27
N. Reid,2,27
V. Solo,2,27
Michael R. Elliott,2,27
Paul Gustafson,2,27
Jong Tae Kim,2,27
Arnold J. Stromberg,2,27
David Vere-Jones,2,27
Jerry Lawless,2,27
Andrey Feuerverger,2,27
Andrew W. Lo,2,27
Nathaniel L. Beck,2,27
Michael W. Browne,2,27
Theodore Eisenberg,2,27
Beverly G. Mellen,2,27
Yongmiao Hong,2,27
Michael J. Daniels,2,27
David H. Krantz,2,27
Scott M. Berry,2,27
Ulf Böckenholt,2,27
Probal Chaudhuri,2,27
Marc Aerts,2,27
Carl P. Schmertmann,2,27
Soumendra N. Lahiri,2,27
Linda H. Zhao,2,27
Wilbert C. M. Kallenberg,2,27
Kenny Q. Ye,2,27
Sudeshna Adak,2,27
Colin B. Begg,2,27
M. Laurentius Marais,2,27
C. K. Chu,2,27
Claudia Tebaldi,2,27
David M. Higdon,2,27
Michael C. Minnotte,2,27
Edsel A. Peña,2,27
David M. Zucker,2,27
Marianthi Markatou,2,27
Carmela E. Quintos,2,27
Jacqueline M. Hughes-Oliver,2,27
Jianming Ye,2,27
Louis Ferré,2,27
Patrick J. Heagerty,2,27
Brani Vidakovic,2,27
James G. Booth,2,27
Anne Chao,2,27
Yuedong Wang,2,27
Jon R. Kettenring,2,27
Lewis B. Sheiner,2,27
Myunghee Cho Paik,2,27
Li-Shan Huang,2,27
Edgar Brunner,2,27
Enrique Castillo,2,27
Donald Malec,2,27
Nancy Paul Silliman,2,27
Michael Sherman,2,27
Dr. Michael D. B. de Edwardes,2,27
Robert A. Rigby,2,27
Goran Brostrom,2,27
Narayan Sastry,2,27
Takashi Yanagawa,2,27
Tiee-Jian Wu,2,27
Chuhsing Kate Hsiao,2,27
Gene Pennello,2,27
R. R. Sitter,2,27
Lynne Billard,2,27
Iain S. Weir,2,27
Charles Kooperberg,2,27
Daniel A. Bloch,2,27
Alice M. Richardson,2,27
Evelyn M. Crowley,2,27
Guido Giani,2,27
Mendel Fygenson,2,27
Zhenming Shun,2,27
Nhu D. Le,2,27
Stephan R. Sain,2,27
Ludwig Fahrmeir,2,27
W. Y. Wendy Lou,2,27
James L. Kepner,2,27
Bodhini R. Jayasuriya,2,27
Joel L. Horowitz,2,27
B. M. Brown,2,27
Hari Mukerjee,2,27
Ülkü Gürler,2,27
Merlise Clyde,2,27
Ping Zhang,2,27
Xu-Feng Niu,2,27
Christopher H. Schmid,2,27
Garrett M. Fitzmaurice,2,27
Bertrand Clarke,2,27
Michael P. Jones,2,27
Sin-Ho Jung,2,27
Richard Anderson-Sprecher,2,27
Y. Vardi,2,27
Sangun Park,2,27
Mahmoud A. El-Gamal,2,27
Theo Gasser,2,27
Michael L. Stein,2,27
Xiaoping Xiong,2,27
David J. Balding,2,27
Hävard Rue,2,27
Santiago Velilla,2,27
Wing K. Fung,2,27
Christian Houdré,2,27
Julian Z. Wang,2,27
Julian J. Faraway,2,27
Peter Amrhein,2,27
Rex F. Galbraith,2,27
Sally Hunsberger,2,27
Jean-Daniel Rolle,2,27
Keunkwan Ryu,2,27
Dag Tjøstheim,2,27
P. M. Robinson,2,27
Karen Bandeen-Roche,2,27
Isaac Meilijson,2,27
Elizabeth H. Slate,2,27
Art B. Owen,2,27
Daniel F. Heitjan,2,27
Offer Lieberman,2,27
Teresa Ledwina,2,27
Anton K. Formann,2,27
Yu Hayakawa,2,27
Hal S. Stern,2,27
J. Stuart Hunter,2,27
A. H. Welsh,2,27
Paul H. Garthwaite,2,27
Alan H. Dorfman,2,27
W. D. Kaigh,2,27
Michael Friendly,2,27
Timo Teräsvirta,2,27
Alaattin Erkanli,2,27
Sybil L. Crawford,2,27
Michael D. Escobar,2,27
S. Christian Albright,2,27
Karyn E. Model,2,27
Laurence M. Grummer-Strawn,2,27
Daniel H. Hill,2,27
Gary W. Oehlert,2,27
John S. Uebersax,2,27
Thomas H. Short,2,27
Panayiotis T. Theodossiou,2,27
Larry P. Ammann,2,27
Wing-Kam Fung,2,27
Ronald C. Pruitt,2,27
Neil Shephard,2,27
Peter H. Peskun,2,27
Marc J. Sobel,2,27
Raj S. Chhikara,2,27
Robert J. Gray,2,27
Russell B. Millar,2,27
Steffen L. Lauritzen,2,27
Louis Rizzo,2,27
Lorrie L. Hoffman,2,27
Nicholas Lange,2,27
Andrew A. Weiss,2,27
Paul D. Sampson,2,27
Jae Won Lee,2,27
Deanna B. Haunsperger,2,27
W. Härdle,2,27
George Kimeldorf,2,27
Douglas Nychka,2,27
R. H. Shumway,2,27
Bruce Cooil,2,27
Vincent P. Barabba,2,27
Jeffrey E. Harris,2,27
Kimberly D. Zieschang,2,27
Steven K. Thompson,2,27
John P. Buonaccorsi,2,27
Rollin Brant,2,27
Michael A. Martin,2,27
Thomas P. McWilliams,2,27
Connie Faye Page,2,27
Christopher J. Lloyd,2,27
Juha M. Alho,2,27
Edward J. Wegman,2,27
William J. Welch,2,27
Greg C. G. Wei,2,27
N. S. Altman,2,27
M. Clutton-Brock,2,27
Joachim Kunert,2,27
Kun He,2,27
John E. Rolph,2,27
Fredrica D. Kramer,2,27
Stuart G. Baker,2,27
Susan Porter-Hudak,2,27
George R. Terrell,2,27
Mara Tableman,2,27
Hanfeng Chen,2,27
G. L. Thompson,2,27
Janet L. Norwood,2,27
Robert Alan Johnson,2,27
Melinda H. Harder,2,27
David Edelman,2,27
A. O'hagan,2,27
Michael Sampson,2,27
Helmut Finner,2,27
Lucy Suchman,2,27
Peter J. Danaher,2,27
Mark A. Espeland,2,27
Kenneth G. Manton,2,27
J. J. Tai,2,27
David L. Banks,2,27
William A. Link,2,27
A. Hedayat,2,27
Stephen J. Ruberg,2,27
J. B. Carlin,2,27
Mark R. Conaway,2,27
James A. Orr,2,27
Douglas G. Simpson,2,27
Mohan Delampady,2,27
Peter McCullagh,2,27
Adi Raveh,2,27
James Bethel,2,27
Alan J. Izenman,2,27
Lynne Stokes,2,27
Amy Racine-Poon,2,27
M. Vernon Johns,2,27
L. Mark Berliner,2,27
Yosihiko Ogata,2,27
Robert K. Tsutakawa,2,27
Peter C. O'brien,2,27
Adam T. Martinsek,2,27
Ben Zehnwirth,2,27
C. Mitchell Dayton,2,27
Yehuda Vardi,2,27
S. M. Tam,2,27
Alan J. Rogers,2,27
Allen L. Schirm,2,27
Robert T. Holden,2,27
Steven C. Hillmer,2,27
Theodore Karrison,2,27
R. A. Bailey,2,27
David A. Ziebart,2,27
Donald W. Marquardt,2,27
Roman Krzysztofowicz,2,27
David K. Pickard,2,27
James S. Hodges,2,27
John S. Meyer,2,27
G. P. Y. Clarke,2,27
Vijayan N. Nair,2,27
George W. Cobb,2,27
Sanford Weisberg,2,27
Christiaan Grootaert,2,27
Woo-Chul Kim,2,27
Russell A. Boyles,2,27
Raymond L. Chambers,2,27
Walter K. Kremers,2,27
Michael D. Bankier,2,27
D. G. Hoel,2,27
S. W. Lagakos,2,27
Mohamed Al-Osh,2,27
Jiunn T. Hwang,2,27
N. Singh,2,27
Michael E. Mack,2,27
Agustin Maravall,2,27
Mark F. Schilling,2,27
Daniel T. Voss,2,27
Ove Frank,2,27
R. L. Prentice,2,27
Robert E. Fay,2,27
Stephan Morgenthaler,2,27
Mohammad Sadooghi-Alvandi,2,27
M. B. Shapiro,2,27
James F. Nelson,2,27
Dirk Sikkel,2,27
Benjamin F. King,2,27
Bernhard N. Flury,2,27
Robb J. Muirhead,2,27
Robert J. Mislevy,2,27
Shie-Shien Yang,2,27
Alexander M. Samarov,2,27
Stephen M. Kosslyn,2,27
Joop de Beer,2,27
Salih N. Neftci,2,27
Leo Breiman,2,27
Richard Valliant,2,27
Walter W. Piegorsch,2,27
Thomas M. Stoker,2,27
Mukhtar M. Ali,2,27
David A. Lax,2,27
Taka-Aki Shiraishi,2,27
Kenneth W. Wachter,2,27
Paul D. Allison,2,27
David Oakes,2,27
Carson E. Agnew,2,27
Gouri K. Bhattacharyya,2,27
Jeremy M. G. Taylor,2,27
C. Page Shapiro,2,27
Robert A. Wijsman,2,27
Takeaki Kariya,2,27
José M. Bernardo,2,27
B. W. Silverman,2,27
Robert J. Shiller,2,27
Carl Erik Särndal,2,27
S. D. Walter,2,27
Wallace E. Franck,2,27
Marc Mangel,2,27
H. T. Thaler,2,27
Sam C. Saunders,2,27
David Hinkley,2,27
Wolfgang Polasek,2,27
Thomas A. Louis,2,27
Gregory Reinsel,2,27
John S. Rose,2,27
Richard D. Gill,2,27
Y. C. Chang,2,27
Jon Schnute,2,27
J. W. Pratt,2,27
James M. Landwehr,2,27
Murray A. Cameron,2,27
Kam-Wah Tsui,2,27
Henrik Spliid,2,27
Roger L. Wright,2,27
Akimichi Takemura,2,27
Orley Ashenfelter,2,27
E. B. Fowlkes,2,27
Roderick J.A. Little,2,27
Esa Uusipaikka,2,27
William C. Rinaman Jr.,2,27
L. P. Fatti,2,27
Herman J. Bierens,2,27
Katsuto Tanaka,2,27
Josephine Mauskopf,2,27
Michael A. Stoto,2,27
Carl N. Morris,2,27
Estela Bee Dagum,2,27
Thomas W. O'Gorman,2,27
Clifford C. Clogg,2,27
Daniel Macrae Keenan,2,27
M. Anthony Wong,2,27
Anastasios A. Tsiatis,2,27
S. E. Pudney,2,27
James K. Binkley,2,27
W. J. Studden,2,27
Sam Gutmann,2,27
Ronald D. Snee,2,27
Salih N. NeftçI,2,27
Robert Bartels,2,27
Michael L. Brown,2,27
James D. Malley,2,27
Danny Dyer,2,27
Greg Reinsel,2,27
Gary M. Erickson,2,27
Robert S. Elder,2,27
Stan Becker,2,27
B. Kleiner,2,27
Ekkehart Schlicht,2,27
K. J. McConway,2,27
Samuel D. Oman,2,27
Laurens de Haan,2,27
Yoshikazu Takada,2,27
Göran Broström,2,27
Margaret E. Martin,2,27
Edward L. Korn,2,27
Diane Galarneau Gibbons,2,27
Prem K. Goel,2,27
R. R. Read,2,27
Gregory A. Mack,2,27
Mark E. Johnson,2,27
Thomas R. Willemain,2,27
Gunnar Blom,2,27
Ioannis A. Koutrouvelis,2,27
Nanny Wermuth,2,27
Nobuo Shinozaki,2,27
Y. H. Wang,2,27
S. Lynne Stokes,2,27
Cheryl M. Wallgren,2,27
David R. Bellhouse,2,27
Walter Krämer,2,27
J. D. Jobson,2,27
Jay W. Forrester,2,27
Stanley Wasserman,2,27
Robert D. Mare,2,27
Andrew F. Siegel,2,27
David P. Hasza,2,27
Jan F. Kiviet,2,27
Justus F. Seely,2,27
Tom Wansbeek,2,27
Lütkepohl Helmut,2,27
D. M. Grove,2,27
C. L. F. Attfield,2,27
Gary Smith,2,27
Jan M. Van Campenhout,2,27
Robert E. Tarone,2,27
Grace Wahba,2,27
I. S. Alalouf,2,27
James W. Sayre,2,27
A. Zinger,2,27
Arthur L. Schoenstadt,2,27
S. B. Nandi,2,27
Michael Woodroofe,2,27
Bengt Muthén,2,27
Douglas H. Jones,2,27
Michael Bacharach,2,27
Roberto S. Mariano,2,27
A. Ian McLeod,2,27
Rory O. R. Y. Thompson,2,27
Ralph G. O'brien,2,27
Alan Paul Fenech,2,27
David L. Turner,2,27
Glenn D. Westley,2,27
Claude Angers,2,27
Leland Stewart,2,27
Thomas E. Obremski,2,27
Kerry L. Lee,2,27
Beth Gladen,2,27
Thomas W. Sager,2,27
Martin A. Hamilton,2,27
Petter Laake,2,27
K. J. Worsley,2,27
Abba M. Krieger,2,27
Joseph J. Walker,2,27
Ward Whitt,2,27
Richard K. Burdick,2,27
David R. Thomas,2,27
Donald S. Burdick,2,27
Fritz H.-H. Henze,2,27
T. Timothy Chen,2,27
David A. Pyne,2,27
Charles I. Plosser,2,27
Anita Parunak,2,27
Brian S. Everitt,2,27
Richard T. Baillie,2,27
Peter Paul Vitaliano,2,27
Allan E. Paull,2,27
Robert C. Scott,2,27
Scott E. Atkinson,2,27
Gerhard Hommel,2,27
L. R. Haff,2,27
Theodor J. Stewart,2,27
Ishay Weissman,2,27
Kenneth S. Kaminsky,2,27
Marc S. Weiss,2,27
Ronald E. Wyzga,2,27
Lee W. Schruben,2,27
Norman J. Johnson,2,27
Itzhak Venezia,2,27
Gerald L. Sievers,2,27
Michael R. Stoline,2,27
Kenneth E. Warner,2,27
Rina Chen,2,27
A. John Petkau,2,27
Gerald Shea,2,27
Hermanus H. Lemmer,2,27
Michael F. Driscoll,2,27
Annette J. Dobson,2,27
James T. McClave,2,27
P. Prescott,2,27
Kenneth G. Brown,2,27
Herbert Solomon,2,27
John D. Kalbfleisch,2,27
John C. Ham,2,27
Nils Blomqvist,2,27
Paul S. Levy,2,27
Randall D. Weiss,2,27
Arthur V. Peterson Jr.,2,27
Russell F. Kappenman,2,27
Paul A. Games,2,27
VÁClav Fabian,2,27
Donald Ylvisaker,2,27
Roy E. Welsch,2,27
Kenneth W. Fertig,2,27
Antoni Espasa,2,27
James D. Broffitt,2,27
Robert J. Beaver,2,27
Henry P. Wynn,2,27
Glen H. Lemon,2,27
David Freedman,2,27
Peter Newman,2,27
João Luiz Maurity Saboia,2,27
Morton B. Brown,2,27
Debabrata Basu,2,27
Lee-Jen Wei,2,27
Ralph B. D'agostino,2,27
Aroona S. Borpujari,2,27
Geoffrey John McLachlan,2,27
S. Keith Lee,2,27
W. R. Schucany,2,27
James M. Lowerre,2,27
Helen T. Bhattacharyya,2,27
Dennis D. Wackerly,2,27
B. J. R. Bailey,2,27
Kenneth Garbade,2,27
Donald G. Thomas,2,27
M. Lawrence Clevenson,2,27
I. B. Thomsen,2,27
Kong-Ming Chong,2,27
C. A. Robertson,2,27
L. Billard,2,27
L. R. Shenton,2,27
James D. Knoke,2,27
Judith-Anne W. Chapman,2,27
Basil L. Hamilton,2,27
R. M. Loynes,2,27
C. Singh,2,27
Cordelia Reimers,2,27
Jacob S. Siegel,2,27
Norman Draper,2,27
Jia-Yeong Tsay,2,27
G. J. G. Upton,2,27
Jon Stene,2,27
Dennis L. Young,2,27
Jay Herson,2,27
Kerstin Vännman,2,27
Girma Wolde-Tsadik,2,27
R. J. Rohr,2,27
Chong Kiew Liew,2,27
R. W. Farebrother,2,27
Richard Hobson,2,27
Prithwis Das Gupta,2,27
Jerome H. Klotz,2,27
V. M. Joshi,2,27
Geoffrey R. Dolby,2,27
William A. Barnett,2,27
Daniel Krewski,2,27
P. L. Cornelius,2,27
Trevor Sharot,2,27
Walter L. Eckardt Jr.,2,27
Tore Schweder,2,27
Richard F. Green,2,27
D. L. Thomas,2,27
W. A. Woodward,2,27
M. Samiuddin,2,27
Lester R. Frankel,2,27
Ivy E. Broder,2,27
P. T. Liu,2,27
M. R. Binns,2,27
Richard J. Brook,2,27
Sidney J. Yakowitz,2,27
Earl Nordbrock,2,27
Nitis Mukhopadhyay,2,27
A. Charnes,2,27
Milton Sobel,2,27
Ian R. Dunsmore,2,27
Rudy A. Gideon,2,27
Allan H. Marcus,2,27
Meena Pradhan,2,27
John A. Carlson,2,27
David K. Guilkey,2,27
James C. Reading,2,27
Susan D. Horn,2,27
Max Engelhardt,2,27
N. S. Johnson,2,27
Mark Thompson,2,27
H. S. Sichel,2,27
Judith D. Goldberg,2,27
Frank A. Cowell,2,27
Benjamin Kedem-Kimelfeld,2,27
Peter A. Frost,2,27
E. G. Enns,2,27
Janos Galambos,2,27
A. E. Stark,2,27
K. Vijayan,2,27
Daniel W. Ladd,2,27
S. John,2,27
R. Harkema,2,27
Roger J. Owen,2,27
G. J. McLachlan,2,27
Pedro E. Ferreira,2,27
R. L. Obenchain,2,27
W. H. Dumouchel,2,27
T. N. Srivastava,2,27
James R. Veale,2,27
A. Hald,2,27
Seymour M. Kwerel,2,27
Richard C. Rockwell,2,27
Jan Lanke,2,27
R. H. Fletcher,2,27
Keith Ord,2,27
Smiley W. Cheng,2,27
John B. Ofosu,2,27
Kenneth J. Levy,2,27
J. Robinson,2,27
G. W. Cran,2,27
George C. S. Yu,2,27
Richard J. Cebula,2,27
Chester L. Olson,2,27
Scott B. Guthery,2,27
George H. Worm,2,27
B. L. Fox,2,27
R. M. Pringle,2,27
W. Kenneth Poole,2,27
Marshall E. Blume,2,27
Lawrence Hubert,2,27
F. James Rohlf,2,27
Stephen L. George,2,27
Alan Winterbottom,2,27
James E. Kiefer,2,27
Joseph Naus,2,27
J. Tiago de Oliveira,2,27
Edmund H. Mantell,2,27
Alton J. Rahe,2,27
Kenneth F. Wallis,2,27
Robert W. Gillespie,2,27
William H. Angoff,2,27
Janet T. Wittes,2,27
Thomas F. Cargill,2,27
E. Meelis,2,27
J. D. Church,2,27
James Lowerre,2,27
Steve Selvin,2,27
Gwenda J. Cane,2,27
John M. Cozzolino,2,27
R. C. Srivastava,2,27
J. B. Ofosu,2,27
A. J. Yeats,2,27
Frances E. Kobrin,2,27
Peter Jagers,2,27
Douglas Kelker,2,27
Johny K. Johansson,2,27
Merle W. Tate,2,27
E. J. Schlossmacher,2,27
Ivor Francis,2,27
Pierre Jolicoeur,2,27
Kenneth O. Cogger,2,27
David P. Baron,2,27
William Jay Conover,2,27
Opal G. Regan,2,27
Robert A. Gordon,2,27
Benjamin P. Klotz,2,27
Jacob D. Merriwether,2,27
William M. Bassin,2,27
A. Otten,2,27
Jay L. Devore,2,27
John B. Neuhardt,2,27
R. J. Bhansali,2,27
Richard A. Olshen,2,27
Eugene F. Schuster,2,27
Saul Sands,2,27
B. R. Froehlich,2,27
R. Pollard,2,27
James J. Schlesselman,2,27
Jay Devore,2,27
Dan H. Moore II,2,27
H. Ekblom,2,27
G. David Faulkenberry,2,27
Hans Levenbach,2,27
E. A. Maxwell,2,27
Roger W. Klein,2,27
George P. McCabe Jr.,2,27
Laurits R. Christensen,2,27
S. H. Shapiro,2,27
William H. Shaw,2,27
Biswatosh Sen Gupta,2,27
Joel C. Kleinman,2,27
Douglas K. Adie,2,27
Donald R. McNeil,2,27
Elkan F. Halpern,2,27
L. Peter Jennergren,2,27
J. L. Hodges Jr.,2,27
J. N. Srivastava,2,27
M. Haseeb Rizvi,2,27
M. W. J. Layard,2,27
Edwin L Bradley,2,27
Walter H. Carter Jr.,2,27
James L. Hutter,2,27
John F. Kain,2,27
R. R. Officer,2,27
Richard A. Groeneveld,2,27
Dallas E. Johnson,2,27
W. Keith Hastings,2,27
Herbert Weisberg,2,27
James H. Ware,2,27
Dennis P. Tihansky,2,27
Harland F. Romberg,2,27
Tracy W. Murray,2,27
Chin Long Chiang,2,27
F. Gerard Adams,2,27
P. Michael Laub,2,27
Kan Hua Young,2,27
Michael D. Hurd,2,27
Robert W. Lissitz,2,27
Jerrold H. Zar,2,27
Gerald R. Chase,2,27
J. C. Geertsema,2,27
E. Seneta,2,27
W. E. Griffiths,2,27
Barr Rosenberg,2,27
V. S. Bawa,2,27
P. N. Misra,2,27
Lyman L McDonald,2,27
S. R. Srivastava,2,27
T. K. M. Wisniewski,2,27
David F. Bauer,2,27
André Laurent,2,27
David F. Sly,2,27
C. Michelini,2,27
Alexis Zinger,2,27
Peter S. Gartside,2,27
Bernard Saperstein,2,27
Pierre Robillard,2,27
Janet Dixon Elashoff,2,27
Parthasaradhi Mallela,2,27
Robert E. Kohn,2,27
Richard O. Gilbert,2,27
William K. Estes,2,27
Ned Glick,2,27
David G. Hoel,2,27
V. K. Srivastava,2,27
S. S. Shapiro,2,27
Nathan King,2,27
M. T. Subrahmanya,2,27
Martin M. G. Fase,2,27
Leroy O. Stone,2,27
David V. Hinkley,2,27
John M. Chambers,2,27
Paul Luey,2,27
Seiji Naya,2,27
Yuji Ijiri,2,27
Leonard J. Savage,2,27
Ravindra Singh,2,27
William M. Rand,2,27
T. J. Rao,2,27
R. M. Phatarfod,2,27
Robert B. Davies,2,27
P. L. Odell,2,27
John J. McCall,2,27
Chester R. Pelto,2,27
John J. Chai,2,27
Leonard Merewitz,2,27
Brian J. L. Berry,2,27
Sung C. Choi,2,27
K. P. Srinath,2,27
Valerie Miké,2,27
Ying Y. Wang,2,27
M. R. Rao,2,27
J. J. A. Moors,2,27
Erling B. Andersen,2,27
Campbell B. Read,2,27
Bernard G. Greenberg,2,27
Roger R. Betancourt,2,27
Neil W. Henry,2,27
John Teichmoeller,2,27
Donald C. Weber,2,27
Kei Takeuchi,2,27
Eugene Sobel,2,27
Harry H. Kelejian,2,27
Surendra K. Srivastava,2,27
Lawrence R. Klein,2,27
A. P. J. Abrahamse,2,27
J. Singh,2,27
Richard Zeckhauser,2,27
Marcel G. Dagenais,2,27
Robert H. Hayes,2,27
Fred L. Ramsey,2,27
K. C. Chanda,2,27
Jacob Marschak,2,27
Stephen J. Turnovsky,2,27
M. K. Carney,2,27
William Shonick,2,27
Rupert G. Miller JR.,2,27
M. J. Karson,2,27
Vincent A. Uthoff,2,27
Charles L. Odoroff,2,27
George D. Craig,2,27
Anthony A. Prato,2,27
Sungwoo Kim,2,27
David F. Andrews,2,27
Yung Liang Tong,2,27
Erling Bernhard Andersen,2,27
D. N. Shanbhag,2,27
J. G. Fryer,2,27
Pietro Balestra,2,27
Aaron Tenenbein,2,27
S. S. Wagner,2,27
M. Knott,2,27
Irwin Friend,2,27
Richard Long,2,27
Roy H. Wampler,2,27
D. J. Laughhunn,2,27
Feng-Yao Lee,2,27
Barbara B. Murray,2,27
Gerald F. Higgins,2,27
John S. White,2,27
Adnan F. Ifram,2,27
Sleeba John,2,27
William S. Mallios,2,27
Robert Cleroux,2,27
James K. Yarnold,2,27
Robert I. Jennrich,2,27
Morris Skibinsky,2,27
James E. Mosimann,2,27
R. A. Weitzman,2,27
Jan Kmenta,2,27
K. S. Srikantan,2,27
Roger R. Davidson,2,27
K. C. Sreedharan Pillai,2,27
Morris H. Hanson,2,27
Joseph F. Daly,2,27
Robert T. O'reagan,2,27
Eugene W. Pike,2,27
Morris L. Eaton,2,27
Jack L. Ogus,2,27
James E. Dunn,2,27
Robert Cléroux,2,27
M. Sivamurthy,2,27
Arthur Schleifer Jr.,2,27
H. H. Kelejian,2,27
Prakash C. Joshi,2,27
P. J. Kim,2,27
B. G. Greenberg,2,27
John C. Musgrave,2,27
Jagdish N. Sheth,2,27
J. J. Deely,2,27
Alan Powell,2,27
M. Atiqullah,2,27
Umesh D. Naik,2,27
Leone Y. Low,2,27
Hrishikesh D. Vinod Mathematica,2,27
Chandan Kumar Mustafi,2,27
C. A. McGilchrist,2,27
S. D. Varde,2,27
Hanspeter Thöni,2,27
Philip Rabinowitz,2,27
Allen C. Endres,2,27
R. Ramanathan,2,27
G. M. K. Kpedekpo,2,27
Z. M. Sykes,2,27
M. Zelen,2,27
N. S. D'Andrea Du Bois Jr.,2,27
B. N. Nagnur,2,27
M. M. Siddiqui,2,27
H. Glejser,2,27
Madan Lal Puri,2,27
Ethel S. Gilbert,2,27
Thomas A. Elkins,2,27
Jonathan Shuster,2,27
Irving I. Gringorten,2,27
Khatab M. Hassanein,2,27
Giitiro Suzuki,2,27
Mary H. Regier,2,27
Dale M. Heien,2,27
Rasul A. Khan,2,27
G. K. Eagleson,2,27
Allan H. Young,2,27
Harry M. Rosenblatt,2,27
Paul Zarembka,2,27
Gordon M. Kaufman,2,27
Theodore S. Donaldson,2,27
E. Scott Maynes,2,27
David R. Kamerschen,2,27
Roger A. Shorack,2,27
T. Cacoullos,2,27
Paul L. Meyer,2,27
P. A. Tinsley,2,27
Thomas H. Naylor,2,27
Joginder Kumar,2,27
Ellis L. Johnson,2,27
Hodson Thornber,2,27
James W. Longley,2,27
Marvin Wilkerson,2,27
D. R. McNeil,2,27
